General Ledger
Business Name: AB Civil Consulting LLC
Tax Filing Name: AB CIVIL CONSULTING LLC
Accounting Basis: Modified Cash
Date Range: 1/1/2025 to 1/31/2026
Report Date: 1/19/2026

Account: Legends Bank Checking 7131,Your balance in Patriot: $16220.81
Date,Type,Description,Amount,Balance
10/29/2025,Customer Invoice Payment,Payment #5253 for Central Florida Site Pros Inc (Invoice #1329),$1530.00,$44183.61
10/29/2025,Customer Invoice Payment,Payment #5253 for Central Florida Site Pros Inc (Invoice #1317),$1900.00,$46083.61
10/29/2025,Customer Invoice Payment,Payment #21844 for Litman Excavating (Invoice #1442),$875.00,$46958.61
10/29/2025,Customer Invoice Payment,Payment #21844 for Litman Excavating (Invoice #1441),$875.00,$47833.61
10/29/2025,Customer Invoice Payment,Payment #21844 for Litman Excavating (Invoice #1443),$875.00,$48708.61
10/29/2025,Customer Invoice Payment,Payment #21794 for Litman Excavating (Invoice #1430),$320.00,$49028.61
10/29/2025,Customer Invoice Payment,Payment #1864 for Gude LLC (Invoice #1469),$2430.00,$51458.61
10/29/2025,Customer Invoice Payment,Payment #10576 for Watson Excavating (Invoice #1482),$2400.00,$53858.61
10/29/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$53820.84
10/30/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 8550927,-$2000.00,$51820.84
10/31/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$50739.01
10/31/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$50439.01
10/31/2025,Imported Transaction,Legends Bank - Personal STATE OF MONTANA MT TAX PMT,-$69.00,$50370.01
10/31/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$1833.77,$48536.24
10/31/2025,Payroll,Direct Deposit Net Pay,-$12667.98,$35868.26
11/3/2025,Contractor Payment,Payment for Ufredo Barahona,-$4540.00,$31328.26
11/3/2025,Imported Transaction,Legends Bank - Personal STATE OF MONTANA UIT PMT TXP 2113212 IIT 62,-$62.29,$31265.97
11/3/2025,Imported Transaction,Legends Bank - Personal MER BK. MTHLY DISC,-$35.00,$31230.97
11/3/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000002801 AB CIVIL CONSULTING LLC,-$28.01,$31202.96
11/3/2025,Imported Transaction,Legends Bank - Personal STATE OF TN BALANCEDUE,-$3.91,$31199.05
11/3/2025,Imported Transaction,Legends Bank - Personal APPLECARD GSBANK PAYMENT,-$52.82,$31146.23
11/3/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000120575 AB CIVIL CONSULTING LLC,-$1205.75,$29940.48
11/3/2025,Imported Transaction,Legends Bank - Personal STRIPE TRANSFER,-$10.95,$29929.53
11/3/2025,Imported Transaction,Legends Bank - Personal SC DEPT REVENUE DEBIT,-$1187.36,$28742.17
11/3/2025,Imported Transaction,Legends Bank - Personal KENTUCKY DORIS KY TAX PMT,-$774.84,$27967.33
11/3/2025,Imported Transaction,Legends Bank - Personal THOMPSON MACHINE BT1031,-$6766.08,$21201.25
11/4/2025,Customer Invoice Payment,Payment for Consolidated Land Services Inc. (Invoice #1498),$1250.00,$22451.25
11/4/2025,Customer Invoice Payment,Payment for Consolidated Land Services Inc. (Invoice #1489),$1250.00,$23701.25
11/4/2025,Imported Transaction,Legends Bank - Personal EMPL SEC COMM EMPL SEC 2503363599,-$21.25,$23680.00
11/4/2025,Imported Transaction,Legends Bank - Personal HENLEY ACCOUNTIN J2696 RCUR TRN 1 CZ10000KKZWJC RMR IK HENLEY ACCOUNTING AND,-$890.00,$22790.00
11/4/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$22584.62
11/4/2025,Imported Transaction,Legends Bank - Personal OKLAHOMATAXPMTS OK TAX PMT,-$451.00,$22133.62
11/4/2025,Imported Transaction,Legends Bank - Personal CO DEPT REVENUE TAXPAYMENT,-$326.00,$21807.62
11/4/2025,Imported Transaction,Legends Bank - Personal MELVIN LUMAG IAT PAYPAL WEB000000000000017136 AB CIVIL CONSULTING LLC,-$171.36,$21636.26
11/4/2025,Journal Entry,Stripe Fees,-$73.10,$21563.16
11/4/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.70,$20645.46
11/4/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.90,$19727.56
11/5/2025,Customer Invoice Payment,Payment for Brightview Landscape Development (Invoice #1268),$2200.00,$21927.56
11/5/2025,Customer Invoice Payment,Payment #17596 for Sessler Environmental (Invoice #1455),$2040.00,$23967.56
11/5/2025,Customer Invoice Payment,Payment #000976 for Belaire Construction (Invoice #1426),$2320.00,$26287.56
11/5/2025,Customer Invoice Payment,Payment #000976 for Belaire Construction (Invoice #1436),$3120.00,$29407.56
11/5/2025,Customer Invoice Payment,Payment for Litman Excavating (Invoice #1446),$1000.00,$30407.56
11/5/2025,Imported Transaction,Legends Bank - Personal EFT NETWORK BILLING,-$10.00,$30397.56
11/5/2025,Imported Transaction,Legends Bank - Personal GATEWAY SERVICES WEBPAYMENT,-$20.00,$30377.56
11/5/2025,Customer Invoice Payment,Payment #1337 for DCI - Team (Dipasquale Construction) (Invoice #1437),$300.00,$30677.56
11/7/2025,Customer Invoice Payment,Payment for Korb Construction Services LLC (Invoice #1518),$2040.00,$32717.56
11/7/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3735.60,$28981.96
11/7/2025,Journal Entry,Stripe Fees,-$59.46,$28922.50
11/10/2025,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$369.93,$28552.57
11/10/2025,Imported Transaction,Legends Bank - Personal NEWLANE AUTH PAYME,-$611.73,$27940.84
11/11/2025,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1520),$450.00,$28390.84
11/11/2025,Journal Entry,Stripe Fees,-$13.35,$28377.49
11/12/2025,Contractor Payment,Payment for Ufredo Barahona,-$2800.00,$25577.49
11/12/2025,Contractor Payment,Payment for Ufredo Barahona,-$600.00,$24977.49
11/12/2025,Customer Invoice Payment,Payment #50158 for K.P. Martin (Invoice #1463),$2040.00,$27017.49
11/12/2025,Customer Invoice Payment,Payment #571053 for SD Ireland Companies (Invoice #1384),$5450.00,$32467.49
11/12/2025,Customer Invoice Payment,Payment #2774 for Knust Excavating (Invoice #1515),$875.00,$33342.49
11/12/2025,Customer Invoice Payment,Payment #12767 for Abscope Enviornmental (Invoice #1466),$1260.00,$34602.49
11/13/2025,Customer Invoice Payment,Payment #22150 for Edwards Construction Group (Invoice #1454),$3090.00,$37692.49
11/13/2025,Customer Invoice Payment,Payment #3301 for FlowTX (Invoice #1432),$8520.00,$46212.49
11/13/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1434),$4000.00,$50212.49
11/13/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1431),$4125.00,$54337.49
11/13/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$51837.49
11/14/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1427),$4730.00,$56567.49
11/14/2025,Journal Entry,Stripe Fees,-$5.00,$56562.49
11/14/2025,Customer Invoice Payment,Payment #14203 for Terry Roberts Site Work (Invoice #1392),$3370.00,$59932.49
11/14/2025,Imported Transaction,Legends Bank - Personal Best Buy,-$220.00,$59712.49
11/14/2025,Payroll,Direct Deposit Net Pay,-$13525.09,$46187.40
11/17/2025,Customer Invoice Payment,Payment for Utility Group of Florida LLC (Invoice #1389),$2050.00,$48237.40
11/17/2025,Customer Invoice Payment,Payment for Knust Excavating (Invoice #1496),$950.00,$49187.40
11/17/2025,Customer Invoice Payment,Payment for Knust Excavating (Invoice #1497),$1250.00,$50437.40
11/17/2025,Journal Entry,Stripe Fees,-$59.75,$50377.65
11/17/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$50172.27
11/17/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2142 3642627,-$1000.00,$49172.27
11/17/2025,Imported Transaction,Legends Bank - Personal SBA EIDL LOAN PAYMENT 3015519102,-$356.00,$48816.27
11/17/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$120.00,$48696.27
11/17/2025,Imported Transaction,Legends Bank - Personal CarMax,-$1050.82,$47645.45
11/18/2025,Contractor Payment,Payment for Ufredo Barahona,-$6600.00,$41045.45
11/18/2025,Customer Invoice Payment,Payment #1143 for DGPS Land Development Construction (Invoice #1359),$3340.00,$44385.45
11/18/2025,Customer Invoice Payment,Payment #1143 for DGPS Land Development Construction (Invoice #1393),$1700.00,$46085.45
11/18/2025,Customer Invoice Payment,Payment #14221 for Terry Roberts Site Work (Invoice #1457),$3550.00,$49635.45
11/18/2025,Customer Invoice Payment,Payment #14221 for Terry Roberts Site Work (Invoice #1440),$250.00,$49885.45
11/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1445),$3800.00,$53685.45
11/18/2025,Journal Entry,Transfer of monies to pay Ufredo from BOR,$5560.00,$59245.45
11/18/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$4605.74,$54639.71
11/18/2025,Imported Transaction,Legends Bank - Personal STEFFANIE QUIBETE IAT PAYPAL WEB000000000000168513 AB CIVIL CONSULTING LLC,-$1685.13,$52954.58
11/18/2025,Imported Transaction,Legends Bank - Personal MELVIN LUMAG IAT PAYPAL WEB000000000000018612 AB CIVIL CONSULTING LLC,-$186.12,$52768.46
11/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1508),$1660.00,$54428.46
11/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1510),$1910.00,$56338.46
11/18/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1509),$1320.00,$57658.46
11/18/2025,Journal Entry,Wire transfer from BOR to 7131,$3360.00,$61018.46
11/20/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$4031.30,$56987.16
11/20/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 6774126,-$3000.00,$53987.16
11/20/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$821.25,$53165.91
11/20/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.71,$52248.20
11/21/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$120.00,$52128.20
11/21/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$750.00,$51378.20
11/24/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1460),$430.00,$51808.20
11/24/2025,Journal Entry,Stripe Fees,-$3.44,$51804.76
11/25/2025,Contractor Payment,Payment for Ufredo Barahona,-$6000.00,$45804.76
11/25/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$21.85,$45782.91
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$209.52,$45573.39
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$114.33,$45459.06
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.92,$45286.14
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$102.94,$45183.20
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$183.00,$45000.20
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$328.49,$44671.71
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$227.82,$44443.89
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$181.17,$44262.72
11/25/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$172.92,$44089.80
11/26/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1484),$3750.00,$47839.80
11/26/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1474),$650.00,$48489.80
11/26/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1483),$4375.00,$52864.80
11/26/2025,Customer Invoice Payment,Payment #6690 for Ben Kauser Excavating LLC (Invoice #1429),$875.00,$53739.80
11/26/2025,Customer Invoice Payment,Payment #008121 for Mitch Brown Construction Inc (Invoice #1495),$450.00,$54189.80
11/26/2025,Customer Invoice Payment,Payment #4102 for Shawn Malone Excavating (Invoice #1478),$1200.00,$55389.80
11/26/2025,Customer Invoice Payment,Payment #12934 for Abscope Enviornmental (Invoice #1513),$1260.00,$56649.80
11/26/2025,Customer Invoice Payment,Payment #4500171685 for APAC-Alabama Inc. (Invoice #1459),$450.00,$57099.80
11/28/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX073 6783361,-$1400.00,$55699.80
11/28/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$55399.80
11/28/2025,Payroll,Direct Deposit Net Pay,-$13701.43,$41698.37
12/1/2025,Contractor Payment,Payment for Ufredo Barahona,-$6500.00,$35198.37
12/1/2025,Customer Invoice Payment,Payment #6944 for Cole Contracting (Invoice #1477),$1450.00,$36648.37
12/1/2025,Customer Invoice Payment,Payment #6944 for Cole Contracting (Invoice #1476),$1375.00,$38023.37
12/1/2025,Customer Invoice Payment,Payment #6706 for Ben Kauser Excavating LLC (Invoice #1521),$650.00,$38673.37
12/1/2025,Customer Invoice Payment,Payment #14236 for Terry Roberts Site Work (Invoice #1423),$650.00,$39323.37
12/1/2025,Customer Invoice Payment,Payment #3083 for June Engineering Consultants (Invoice #1530),$6390.00,$45713.37
12/1/2025,Customer Invoice Payment,Payment for Precision Site Development LLC (Invoice #1525),$3120.00,$48833.37
12/1/2025,Customer Invoice Payment,Payment for Central Florida Site Pros Inc (Invoice #1491),$2990.00,$51823.37
12/1/2025,Imported Transaction,Legends Bank - Personal APPLECARD GSBANK PAYMENT,-$53.14,$51770.23
12/1/2025,Imported Transaction,Legends Bank - Personal CIGNA 877-484-59 8774845967,-$1081.83,$50688.40
12/1/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 1236301,-$4000.00,$46688.40
12/1/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$46650.63
12/1/2025,Imported Transaction,Legends Bank - Personal FIRST INSURANCE INSURANCE,-$708.45,$45942.18
12/2/2025,Imported Transaction,Legends Bank - Personal MER BK. MTHLY DISC,-$35.00,$45907.18
12/2/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$1833.77,$44073.41
12/2/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.90,$43155.51
12/2/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$186.38,$42969.13
12/2/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$1245.11,$41724.02
12/2/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$41518.64
12/3/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1516),$2375.00,$43893.64
12/3/2025,Imported Transaction,Legends Bank - Personal EFT NETWORK BILLING,-$10.00,$43883.64
12/3/2025,Imported Transaction,Legends Bank - Personal STRIPE TRANSFER,-$14.24,$43869.40
12/4/2025,Imported Transaction,Legends Bank - Personal HENLEY ACCOUNTIN J2726 OOFF TRN 1 CZ10000LHDV2C RMR IK HENLEY ACCOUNTING AND,-$550.00,$43319.40
12/4/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.70,$42401.70
12/5/2025,Contractor Payment,Payment for Ufredo Barahona,-$2950.00,$39451.70
12/5/2025,Customer Invoice Payment,Payment for Kingsley Constructors (Invoice #1494),$3850.00,$43301.70
12/5/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1563),$3000.00,$46301.70
12/5/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1562),$640.00,$46941.70
12/5/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1561),$1400.00,$48341.70
12/5/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1560),$1310.00,$49651.70
12/5/2025,Imported Transaction,Legends Bank - Personal GATEWAY SERVICES WEBPAYMENT,-$20.00,$49631.70
12/5/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$4156.22,$45475.48
12/6/2025,Customer Invoice Payment,Payment for Residential Excavating LLC (Invoice #1571),$1260.00,$46735.48
12/6/2025,Journal Entry,Stripe Fees,-$36.84,$46698.64
12/10/2025,Customer Invoice Payment,Payment for Kwest Group (Invoice #1485),$2250.00,$48948.64
12/10/2025,Customer Invoice Payment,Payment for Utility Group of Florida LLC (Invoice #1452),$2900.00,$51848.64
12/10/2025,Journal Entry,Stripe Fees,-$84.40,$51764.24
12/10/2025,Imported Transaction,Legends Bank - Personal NEWLANE AUTH PAYME,-$611.73,$51152.51
12/10/2025,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$520.83,$50631.68
12/12/2025,Contractor Payment,Payment for Ufredo Barahona,-$3700.00,$46931.68
12/12/2025,Customer Invoice Payment,Payment #021030 for Abrams Group Construction (Invoice #1538),$1250.00,$48181.68
12/12/2025,Customer Invoice Payment,Payment #5390 for Central Florida Site Pros Inc (Invoice #1468),$900.00,$49081.68
12/12/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$420.00,$48661.68
12/12/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$46161.68
12/12/2025,Customer Invoice Payment,Payment #22083 for Litman Excavating (Invoice #1499),$1000.00,$47161.68
12/12/2025,Payroll,Direct Deposit Net Pay,-$13513.76,$33647.92
12/15/2025,Imported Transaction,Legends Bank - Personal AMEX EPAYMENT ACH PMT,-$7497.72,$26150.20
12/15/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$25944.82
12/15/2025,Imported Transaction,Legends Bank - Personal SBA EIDL LOAN PAYMENT 3015519102,-$356.00,$25588.82
12/15/2025,Imported Transaction,Legends Bank - Personal Best Buy,-$220.00,$25368.82
12/15/2025,Imported Transaction,Legends Bank - Personal CarMax,-$1050.82,$24318.00
12/15/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$1916.62,$22401.38
12/16/2025,Customer Invoice Payment,Payment #6861 for Williams Fence of C.N.Y. Inc. (Invoice #1542),$350.00,$22751.38
12/16/2025,Customer Invoice Payment,Payment #005941 for Tampa Contracting Services (Invoice #1473),$380.00,$23131.38
12/16/2025,Customer Invoice Payment,Payment #14290 for Terry Roberts Site Work (Invoice #1480),$3080.00,$26211.38
12/16/2025,Customer Invoice Payment,Payment #3422 for FlowTX (Invoice #1541),$6800.00,$33011.38
12/17/2025,Customer Invoice Payment,Payment for J. Bognar Construction (Invoice #1574),$2150.00,$35161.38
12/17/2025,Journal Entry,Stripe Fees,$5.00,$35166.38
12/17/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$4028.65,$31137.73
12/17/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK 7131 TO CHK 2803 9320332,-$3500.00,$27637.73
12/17/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$304.48,$27333.25
12/17/2025,Imported Transaction,Legends Bank - Personal WISE US INC WISE,-$388.80,$26944.45
12/22/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.71,$26026.74
12/23/2025,Customer Invoice Payment,Payment for Gude LLC (Invoice #1555),$1500.00,$27526.74
12/23/2025,Customer Invoice Payment,Payment #6438739 for Dawson Construction (Invoice #1534),$750.00,$28276.74
12/23/2025,Customer Invoice Payment,Payment #14315 for Terry Roberts Site Work (Invoice #1462),$2950.00,$31226.74
12/23/2025,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$31021.36
12/23/2025,Payroll,Direct Deposit Net Pay,-$2994.40,$28026.96
12/24/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1577),$1400.00,$29426.96
12/24/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1576),$1660.00,$31086.96
12/24/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1591),$2705.00,$33791.96
12/24/2025,Customer Invoice Payment,Payment for AB Civil Consulting of NC PLLC (Invoice #1590),$2677.00,$36468.96
12/24/2025,Customer Invoice Payment,Payment #13444 for DCI - Team (Dipasquale Construction) (Invoice #1514),$350.00,$36818.96
12/24/2025,Customer Invoice Payment,Payment #2674 for Doganiero Construction (Invoice #1492),$2250.00,$39068.96
12/24/2025,Customer Invoice Payment,Payment #2674 for Doganiero Construction (Invoice #1479),$1875.00,$40943.96
12/24/2025,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 2136791,-$2000.00,$38943.96
12/24/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$100.00,$38843.96
12/24/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$100.00,$38743.96
12/24/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$350.00,$38393.96
12/24/2025,Journal Entry,Payment from Arrowhead for Ufredo,$4625.00,$43018.96
12/26/2025,Journal Entry,Stripe Fees,-$43.80,$42975.16
12/26/2025,Payroll,Direct Deposit Net Pay,-$13131.91,$29843.25
12/29/2025,Imported Transaction,Legends Bank - Personal PAYPAL INST XFER,-$37.77,$29805.48
12/29/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX073 6783361,-$1400.00,$28405.48
12/30/2025,Customer Invoice Payment,Payment for Firethorn Inc (Invoice #1512),$6050.00,$34455.48
12/30/2025,Journal Entry,Stripe Fees,-$5.00,$34450.48
12/30/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$282.26,$34168.22
12/30/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$418.79,$33749.43
12/30/2025,Imported Transaction,Legends Bank - Personal WISE INC WISE,-$1529.98,$32219.45
12/30/2025,Imported Transaction,Legends Bank - Personal PAYMENT ESCROW I EDI PYMNTS,-$123.94,$32095.51
12/31/2025,Customer Invoice Payment,Payment for Premier Property Services (Invoice #1527),$1500.00,$33595.51
12/31/2025,Imported Transaction,Legends Bank - Personal STOP PAYMENT FEE,-$20.00,$33575.51
12/31/2025,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX142 8630755,-$300.00,$33275.51
12/31/2025,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$1833.77,$31441.74
12/31/2025,Imported Transaction,Legends Bank - Personal IRS USATAXPYMT,-$3911.05,$27530.69
1/2/2026,Customer Invoice Payment,Payment #13083 for Abscope Enviornmental (Invoice #1566),$370.00,$27900.69
1/2/2026,Customer Invoice Payment,Payment #10836 for Watson Excavating (Invoice #1586),$1390.00,$29290.69
1/2/2026,Customer Invoice Payment,Payment #00050853 for Remedial Transportation Service Inc. (Invoice #1543),$3350.00,$32640.69
1/2/2026,Customer Invoice Payment,Payment #13048 for Abscope Enviornmental (Invoice #1537),$550.00,$33190.69
1/2/2026,Imported Transaction,Legends Bank - Personal MER BK. MTHLY DISC,-$35.00,$33155.69
1/5/2026,Imported Transaction,Legends Bank - Personal THE HARTFORD INSPMTCL,-$179.00,$32976.69
1/5/2026,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.90,$32058.79
1/5/2026,Imported Transaction,Legends Bank - Personal EFT NETWORK BILLING,-$10.00,$32048.79
1/6/2026,Customer Invoice Payment,Payment for AJ Oleson Construction (Invoice #1548),$2000.00,$34048.79
1/6/2026,Journal Entry,Stripe Fees,-$58.30,$33990.49
1/6/2026,Imported Transaction,Legends Bank - Personal GATEWAY SERVICES WEBPAYMENT,-$20.00,$33970.49
1/6/2026,Imported Transaction,Legends Bank - Personal INTUIT FINANCING QBC_PMTS,-$917.70,$33052.79
1/6/2026,Imported Transaction,Legends Bank - Personal MOBILE TRANSFER FROM CHK 7131 TO CHK 2803 5533266,-$2000.00,$31052.79
1/7/2026,Contractor Payment,Payment for Ufredo Barahona,-$3700.00,$27352.79
1/7/2026,Customer Invoice Payment,Payment for Kwest Group (Invoice #1572),$3250.00,$30602.79
1/7/2026,Customer Invoice Payment,Payment #5511 for Central Florida Site Pros Inc (Invoice #1493),$1260.00,$31862.79
1/8/2026,Customer Invoice Payment,Payment for J. Hodge Enterprises (Invoice #1532),$2350.00,$34212.79
1/8/2026,Imported Transaction,Legends Bank - Personal PATRIOT SOFTWARE PAYROLL,-$12779.35,$21433.44
1/9/2026,Customer Invoice Payment,Payment for Kwest Group (Invoice #1433),$2250.00,$23683.44
1/9/2026,Void Contractor Payment,Payment for Ufredo Barahona,$1800.00,$25483.44
1/9/2026,Customer Invoice Payment,Payment #13104 for Abscope Enviornmental (Invoice #1573),$1850.00,$27333.44
1/9/2026,Payroll,Direct Deposit Net Pay,-$12779.35,$14554.09
1/10/2026,Customer Invoice Payment,Payment #554 for Bear Excavating (Invoice #1575),$3410.00,$17964.09
1/10/2026,Customer Invoice Payment,Payment #554 for Bear Excavating (Invoice #1570),$1610.00,$19574.09
1/12/2026,Contractor Payment,Payment for Ufredo Barahona,-$2600.00,$16974.09
1/12/2026,Imported Transaction,Legends Bank - Personal KANSAS PAYMENT SUPPORT,-$205.38,$16768.71
1/12/2026,Imported Transaction,Legends Bank - Personal NEWLANE AUTH PAYME,-$611.73,$16156.98
1/12/2026,Imported Transaction,Legends Bank - Personal Verizon Wireless,-$374.81,$15782.17
1/13/2026,Contractor Payment,Payment for Ufredo Barahona,-$1800.00,$13982.17
1/13/2026,Imported Transaction,Legends Bank - Personal WISE INC WISE 87146789,-$342.33,$13639.84
1/13/2026,Imported Transaction,Legends Bank - Personal WISE INC WISE 87146900,-$512.92,$13126.92
1/13/2026,Imported Transaction,Legends Bank - Personal WISE INC WISE 87147018,-$1466.11,$11660.81
1/13/2026,Imported Transaction,Legends Bank - Personal INTERNET TRANSFER FROM CHK XXXXX131 TO CHK XXXXX803 4794757,-$2500.00,$9160.81
1/14/2026,Customer Invoice Payment,Payment #005980 for Tampa Contracting Services (Invoice #1531),$450.00,$9610.81
1/14/2026,Customer Invoice Payment,Payment #194259 for Sinacola (Invoice #1567),$1040.00,$10650.81
1/14/2026,Customer Invoice Payment,Payment #4500172242 for APAC-Alabama Inc. (Invoice #1517),$5570.00,$16220.81
,,TOTAL ACTIVITY,-$18324.94,
12/31/2024,,PREVIOUS BALANCE,,$34545.75

Account: Legends Bank 7073,Your balance in Patriot: $2078.20
Date,Type,Description,Amount,Balance
1/14/2025,Journal Entry,Check 1031 Madison Business Circle,-$1311.00,$1265.74
1/22/2025,Journal Entry,Internet Transfer from CHK 7131 to CHK 7073 9422862,$2500.00,$3765.74
